Lead ID,Location,College/University,Year of Study,Program Interest,Lead Source
LD2529,Ahmedabad,Gujarat University,2nd,Cybersecurity,Google Form
LD2530,Mumbai,Mithibai College,4th,Environmental Science,Google Form
LD2531,Jaipur,Malaviya National Institute of Technology (MNIT),2nd,Electric Vehicles,LinkedIn
LD2532,Ahmedabad,Gujarat University,2nd,Business Administration,LinkedIn
LD2533,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),2nd,Data Science,LinkedIn
LD2534,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),2nd,Electric Vehicles,Google Form
LD2535,Indore,Devi Ahilya Vishwavidyalaya,2nd,Environmental Science,LinkedIn
LD2536,Hyderabad,Indian School of Business (ISB),4th,Data Science,LinkedIn
LD2537,Delhi,Lady Shri Ram College for Women,3rd,Environmental Science,College Collaboration
LD2538,Delhi,Lady Shri Ram College for Women,2nd,Artificial Intelligence,Google Form
LD2539,Kolkata,Presidency University,3rd,Biotechnology,LinkedIn
LD2540,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),3rd,Cybersecurity,Google Form
LD2541,Jaipur,Malaviya National Institute of Technology (MNIT),2nd,Environmental Science,Google Form
LD2542,Ahmedabad,Gujarat University,4th,Biotechnology,LinkedIn
LD2543,Kolkata,Indian Statistical Institute,3rd,Environmental Science,Mass-Mailing
LD2544,Mumbai,Sardar Patel Institute of Technology,3rd,Environmental Science,LinkedIn
LD2545,Ahmedabad,Nirma University,2nd,Biotechnology,Google Form
LD2546,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),4th,Environmental Science,LinkedIn
LD2547,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),2nd,Biotechnology,Mass-Mailing
LD2548,Indore,Indian Institute of Management Indore (IIM-I),2nd,Artificial Intelligence,Instagram
LD2549,Ahmedabad,Gujarat University,4th,Cybersecurity,Mass-Mailing
LD2550,Ahmedabad,Nirma University,2nd,Environmental Science,Instagram
LD2551,Delhi,Guru Gobind Singh Indraprastha University,4th,Robotics,LinkedIn
LD2552,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),2nd,Business Administration,College Collaboration
LD2553,Kolkata,Indian Statistical Institute,2nd,Robotics,College Collaboration
LD2554,Mumbai,Tata Institute of Social Sciences (TISS),4th,Electric Vehicles,LinkedIn
LD2555,Ahmedabad,Nirma University,1st,Biotechnology,College Collaboration
LD2556,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),1st,Artificial Intelligence,Instagram
LD2557,Indore,Devi Ahilya Vishwavidyalaya,2nd,Biotechnology,Mass-Mailing
LD2558,Mumbai,Narsee Monjee Institute of Management Studies (NMIMS),1st,Data Science,College Collaboration
LD2559,Pune,Symbiosis International University,3rd,Environmental Science,Instagram
LD2560,Bengaluru,Bangalore Institute of Technology,1st,Artificial Intelligence,Google Form
LD2561,Delhi,University of Delhi,3rd,Environmental Science,College Collaboration
LD2562,Ahmedabad,Gujarat University,3rd,Environmental Science,Instagram
LD2563,Ahmedabad,Gujarat University,3rd,Robotics,Mass-Mailing
LD2564,Hyderabad,International Institute of Information Technology (IIIT-H),2nd,Data Science,LinkedIn
LD2565,Jaipur,Rajasthan Technical University,4th,Data Science,College Collaboration
LD2566,Chennai,Madras Christian College,4th,Robotics,LinkedIn
LD2567,Ahmedabad,Gujarat University,1st,Environmental Science,LinkedIn
LD2568,Pune,Bharati Vidyapeeth Deemed University,2nd,Robotics,Mass-Mailing
LD2569,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),4th,Cybersecurity,Whatsapp
LD2570,Chennai,Indian Institute of Technology Madras (IIT-M),3rd,Environmental Science,College Collaboration
LD2571,Mumbai,Narsee Monjee Institute of Management Studies (NMIMS),2nd,Data Science,LinkedIn
LD2572,Chennai,Vellore Institute of Technology (VIT),4th,Biotechnology,Google Form
LD2573,Delhi,Indian Institute of Technology Delhi (IIT-D),3rd,Robotics,Instagram
LD2574,Delhi,Lady Shri Ram College for Women,2nd,Electric Vehicles,LinkedIn
LD2575,Bengaluru,Christ University,2nd,Environmental Science,LinkedIn
LD2576,Kolkata,University of Calcutta,4th,Environmental Science,Whatsapp
LD2577,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),3rd,Cybersecurity,College Collaboration
LD2578,Ahmedabad,Gujarat University,2nd,Business Administration,LinkedIn
LD2579,Mumbai,K. J. Somaiya College of Engineering,3rd,Cybersecurity,College Collaboration
LD2580,Ahmedabad,Nirma University,3rd,Business Administration,Mass-Mailing
LD2581,Indore,Devi Ahilya Vishwavidyalaya,2nd,Cybersecurity,Whatsapp
LD2582,Mumbai,Indian Institute of Technology Bombay (IIT-B),2nd,Biotechnology,College Collaboration
LD2583,Ahmedabad,Gujarat University,4th,Data Science,Google Form
LD2584,Jaipur,Malaviya National Institute of Technology (MNIT),4th,Artificial Intelligence,Mass-Mailing
LD2585,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),2nd,Robotics,LinkedIn
LD2586,Ahmedabad,Nirma University,3rd,Artificial Intelligence,Instagram
LD2587,Pune,Symbiosis International University,2nd,Environmental Science,Whatsapp
LD2588,Bengaluru,Indian Institute of Science (IISc),2nd,Business Administration,Whatsapp
LD2589,Chennai,Indian Institute of Technology Madras (IIT-M),2nd,Data Science,Google Form
LD2590,Jaipur,Rajasthan Technical University,2nd,Data Science,Google Form
LD2591,Ahmedabad,Gujarat University,2nd,Cybersecurity,Google Form
LD2592,Pune,Bharati Vidyapeeth Deemed University,4th,Environmental Science,College Collaboration
LD2593,Mumbai,K. J. Somaiya College of Engineering,4th,Data Science,College Collaboration
LD2594,Chennai,Vellore Institute of Technology (VIT),4th,Cybersecurity,Mass-Mailing
LD2595,Mumbai,University of Mumbai,1st,Cybersecurity,Instagram
LD2596,Mumbai,Tata Institute of Social Sciences (TISS),4th,Business Administration,LinkedIn
LD2597,Jaipur,Rajasthan Technical University,2nd,Environmental Science,Instagram
LD2598,Bengaluru,Indian Institute of Management Bangalore (IIM-B),4th,Environmental Science,College Collaboration
LD2599,Kolkata,University of Calcutta,4th,Environmental Science,LinkedIn
LD2600,Jaipur,Rajasthan Technical University,2nd,Robotics,Mass-Mailing
LD2601,Delhi,Jawaharlal Nehru University (JNU),2nd,Artificial Intelligence,Google Form
LD2602,Chennai,Madras Christian College,1st,Electric Vehicles,Google Form
LD2603,Ahmedabad,Gujarat University,1st,Data Science,LinkedIn
LD2604,Delhi,Indian Institute of Technology Delhi (IIT-D),3rd,Environmental Science,Google Form
LD2605,Jaipur,Rajasthan Technical University,3rd,Artificial Intelligence,Instagram
LD2606,Hyderabad,International Institute of Information Technology (IIIT-H),2nd,Environmental Science,LinkedIn
LD2607,Bengaluru,Christ University,2nd,Data Science,Google Form
LD2608,Jaipur,Rajasthan Technical University,4th,Environmental Science,College Collaboration
LD2609,Delhi,Indian Institute of Technology Delhi (IIT-D),4th,Business Administration,College Collaboration
LD2610,Mumbai,Tata Institute of Social Sciences (TISS),1st,Electric Vehicles,College Collaboration
LD2611,Ahmedabad,Gujarat University,2nd,Robotics,LinkedIn
LD2612,Mumbai,Indian Institute of Technology Bombay (IIT-B),4th,Robotics,College Collaboration
LD2613,Delhi,University of Delhi,3rd,Data Science,LinkedIn
LD2614,Bengaluru,Christ University,3rd,Cybersecurity,LinkedIn
LD2615,Ahmedabad,Nirma University,4th,Electric Vehicles,College Collaboration
LD2616,Bengaluru,Bangalore Institute of Technology,2nd,Cybersecurity,Whatsapp
LD2617,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),4th,Biotechnology,Instagram
LD2618,Delhi,Jawaharlal Nehru University (JNU),3rd,Electric Vehicles,LinkedIn
LD2619,Mumbai,Indian Institute of Technology Bombay (IIT-B),1st,Electric Vehicles,Instagram
LD2620,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),2nd,Data Science,Mass-Mailing
LD2621,Hyderabad,University of Hyderabad,2nd,Environmental Science,Google Form
LD2622,Indore,Devi Ahilya Vishwavidyalaya,3rd,Cybersecurity,Instagram
LD2623,Bengaluru,National Institute of Fashion Technology (NIFT),3rd,Business Administration,College Collaboration
LD2624,Ahmedabad,Gujarat University,3rd,Environmental Science,College Collaboration
LD2625,Hyderabad,University of Hyderabad,2nd,Data Science,College Collaboration
LD2626,Chennai,SRM Institute of Science and Technology,3rd,Data Science,LinkedIn
LD2627,Bengaluru,Bangalore Institute of Technology,4th,Biotechnology,LinkedIn
LD2628,Indore,Indian Institute of Management Indore (IIM-I),3rd,Robotics,Mass-Mailing
LD2629,Chennai,Vellore Institute of Technology (VIT),4th,Biotechnology,LinkedIn
LD2630,Indore,Devi Ahilya Vishwavidyalaya,4th,Robotics,Instagram
LD2631,Kolkata,Indian Statistical Institute,3rd,Cybersecurity,Instagram
LD2632,Kolkata,Indian Statistical Institute,3rd,Data Science,Instagram
LD2633,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),2nd,Business Administration,College Collaboration
LD2634,Ahmedabad,Nirma University,2nd,Environmental Science,Mass-Mailing
LD2635,Delhi,Delhi Technological University (DTU),1st,Environmental Science,Mass-Mailing
LD2636,Mumbai,K. J. Somaiya College of Engineering,4th,Biotechnology,Google Form
LD2637,Ahmedabad,Gujarat University,2nd,Environmental Science,Instagram
LD2638,Hyderabad,Indian School of Business (ISB),2nd,Artificial Intelligence,Google Form
LD2639,Kolkata,Jadavpur University,2nd,Data Science,LinkedIn
LD2640,Hyderabad,University of Hyderabad,3rd,Artificial Intelligence,LinkedIn
LD2641,Hyderabad,Osmania University,4th,Robotics,College Collaboration
LD2642,Kolkata,Indian Statistical Institute,2nd,Environmental Science,LinkedIn
LD2643,Hyderabad,University of Hyderabad,2nd,Artificial Intelligence,Mass-Mailing
LD2644,Ahmedabad,Gujarat University,4th,Electric Vehicles,LinkedIn
LD2645,Delhi,Jawaharlal Nehru University (JNU),4th,Artificial Intelligence,Google Form
LD2646,Bengaluru,National Institute of Fashion Technology (NIFT),4th,Environmental Science,Instagram
LD2647,Mumbai,Sardar Patel Institute of Technology,3rd,Data Science,Mass-Mailing
LD2648,Jaipur,Malaviya National Institute of Technology (MNIT),3rd,Cybersecurity,College Collaboration
LD2649,Delhi,Jawaharlal Nehru University (JNU),4th,Business Administration,Google Form
LD2650,Chennai,Indian Institute of Technology Madras (IIT-M),2nd,Artificial Intelligence,LinkedIn
LD2651,Delhi,Guru Gobind Singh Indraprastha University,2nd,Artificial Intelligence,LinkedIn
LD2652,Ahmedabad,Gujarat University,3rd,Environmental Science,LinkedIn
LD2653,Indore,Indian Institute of Management Indore (IIM-I),3rd,Cybersecurity,LinkedIn
LD2654,Ahmedabad,Gujarat University,2nd,Environmental Science,Mass-Mailing
LD2655,Chennai,Indian Institute of Technology Madras (IIT-M),2nd,Electric Vehicles,Instagram
LD2656,Hyderabad,Osmania University,4th,Artificial Intelligence,College Collaboration
LD2657,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),2nd,Artificial Intelligence,College Collaboration
LD2658,Delhi,University of Delhi,2nd,Environmental Science,Instagram
LD2659,Ahmedabad,Nirma University,3rd,Artificial Intelligence,Mass-Mailing
LD2660,Jaipur,Malaviya National Institute of Technology (MNIT),3rd,Data Science,Google Form
LD2661,Ahmedabad,Gujarat University,2nd,Environmental Science,Instagram
LD2662,Ahmedabad,Nirma University,3rd,Data Science,Mass-Mailing
LD2663,Bengaluru,Bangalore Institute of Technology,3rd,Biotechnology,LinkedIn
LD2664,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),2nd,Electric Vehicles,Google Form
LD2665,Bengaluru,Christ University,4th,Environmental Science,Whatsapp
LD2666,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),2nd,Artificial Intelligence,LinkedIn
LD2667,Delhi,Jawaharlal Nehru University (JNU),2nd,Environmental Science,LinkedIn
LD2668,Delhi,Jamia Millia Islamia,4th,Environmental Science,Google Form
LD2669,Ahmedabad,Nirma University,3rd,Robotics,Google Form
LD2670,Delhi,Jawaharlal Nehru University (JNU),3rd,Environmental Science,LinkedIn
LD2671,Kolkata,Presidency University,3rd,Artificial Intelligence,LinkedIn
LD2672,Mumbai,Narsee Monjee Institute of Management Studies (NMIMS),3rd,Artificial Intelligence,LinkedIn
LD2673,Delhi,Delhi Technological University (DTU),2nd,Data Science,LinkedIn
LD2674,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),4th,Robotics,LinkedIn
LD2675,Kolkata,Presidency University,3rd,Biotechnology,LinkedIn
LD2676,Bengaluru,Indian Institute of Science (IISc),4th,Business Administration,LinkedIn
LD2677,Jaipur,Rajasthan Technical University,3rd,Environmental Science,LinkedIn
LD2678,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),4th,Artificial Intelligence,LinkedIn
LD2679,Mumbai,Tata Institute of Social Sciences (TISS),2nd,Environmental Science,Google Form
LD2680,Indore,Devi Ahilya Vishwavidyalaya,3rd,Business Administration,Mass-Mailing
LD2681,Delhi,Jawaharlal Nehru University (JNU),4th,Business Administration,Google Form
LD2682,Kolkata,University of Calcutta,2nd,Environmental Science,Instagram
LD2683,Mumbai,Sardar Patel Institute of Technology,3rd,Robotics,Mass-Mailing
LD2684,Chennai,Indian Institute of Technology Madras (IIT-M),2nd,Data Science,Mass-Mailing
LD2685,Ahmedabad,Gujarat University,2nd,Environmental Science,Google Form
LD2686,Chennai,Loyola College,4th,Electric Vehicles,College Collaboration
LD2687,Indore,Indian Institute of Management Indore (IIM-I),2nd,Artificial Intelligence,LinkedIn
LD2688,Delhi,University of Delhi,2nd,Business Administration,LinkedIn
LD2689,Chennai,Vellore Institute of Technology (VIT),3rd,Robotics,College Collaboration
LD2690,Pune,Bharati Vidyapeeth Deemed University,3rd,Electric Vehicles,Google Form
LD2691,Kolkata,University of Calcutta,2nd,Cybersecurity,LinkedIn
LD2692,Bengaluru,National Institute of Fashion Technology (NIFT),2nd,Business Administration,LinkedIn
LD2693,Mumbai,Sardar Patel Institute of Technology,2nd,Environmental Science,College Collaboration
LD2694,Mumbai,Sardar Patel Institute of Technology,2nd,Biotechnology,College Collaboration
LD2695,Kolkata,Presidency University,2nd,Artificial Intelligence,LinkedIn
LD2696,Ahmedabad,Nirma University,4th,Biotechnology,LinkedIn
LD2697,Ahmedabad,Nirma University,3rd,Data Science,College Collaboration
LD2698,Chennai,Indian Institute of Technology Madras (IIT-M),3rd,Environmental Science,College Collaboration
LD2699,Bengaluru,National Institute of Fashion Technology (NIFT),4th,Cybersecurity,College Collaboration
LD2700,Kolkata,Jadavpur University,1st,Data Science,College Collaboration
LD2701,Indore,Indian Institute of Management Indore (IIM-I),4th,Artificial Intelligence,Mass-Mailing
LD2702,Ahmedabad,Nirma University,2nd,Business Administration,Google Form
LD2703,Hyderabad,Indian School of Business (ISB),3rd,Data Science,College Collaboration
LD2704,Bengaluru,National Institute of Fashion Technology (NIFT),2nd,Business Administration,LinkedIn
LD2705,Mumbai,St. Xavier's College,1st,Cybersecurity,College Collaboration
LD2706,Delhi,Guru Gobind Singh Indraprastha University,2nd,Data Science,LinkedIn
LD2707,Pune,Bharati Vidyapeeth Deemed University,3rd,Artificial Intelligence,Instagram
LD2708,Chennai,Vellore Institute of Technology (VIT),4th,Artificial Intelligence,LinkedIn
LD2709,Mumbai,Sardar Patel Institute of Technology,4th,Biotechnology,College Collaboration
LD2710,Jaipur,Rajasthan Technical University,2nd,Data Science,Google Form
LD2711,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),4th,Artificial Intelligence,Google Form
LD2712,Hyderabad,International Institute of Information Technology (IIIT-H),2nd,Data Science,Mass-Mailing
LD2713,Bengaluru,Bangalore Institute of Technology,3rd,Electric Vehicles,College Collaboration
LD2714,Chennai,Madras Christian College,3rd,Data Science,Instagram
LD2715,Ahmedabad,Nirma University,2nd,Cybersecurity,Mass-Mailing
LD2716,Ahmedabad,Gujarat University,2nd,Artificial Intelligence,Google Form
LD2717,Pune,MIT World Peace University,1st,Cybersecurity,LinkedIn
LD2718,Delhi,Lady Shri Ram College for Women,4th,Artificial Intelligence,LinkedIn
LD2719,Pune,University of Pune (Savitribai Phule Pune University),3rd,Cybersecurity,LinkedIn
LD2720,Ahmedabad,Gujarat University,2nd,Cybersecurity,College Collaboration
LD2721,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),2nd,Artificial Intelligence,LinkedIn
LD2722,Ahmedabad,Gujarat University,2nd,Artificial Intelligence,Google Form
LD2723,Jaipur,Malaviya National Institute of Technology (MNIT),4th,Cybersecurity,Google Form
LD2724,Hyderabad,Jawaharlal Nehru Technological University (JNTU),2nd,Cybersecurity,Instagram
LD2725,Mumbai,University of Mumbai,3rd,Artificial Intelligence,Instagram
LD2726,Bengaluru,Indian Institute of Management Bangalore (IIM-B),2nd,Artificial Intelligence,College Collaboration
LD2727,Mumbai,Tata Institute of Social Sciences (TISS),3rd,Artificial Intelligence,College Collaboration
LD2728,Mumbai,University of Mumbai,4th,Data Science,LinkedIn
LD2729,Mumbai,Narsee Monjee Institute of Management Studies (NMIMS),4th,Robotics,Instagram
LD2730,Hyderabad,Indian School of Business (ISB),3rd,Business Administration,Google Form
